Date,Open,High,Low,Close,Adj Close,Volume
2022-11-28,23.150000,23.480000,22.920000,23.010000,23.010000,766400
2022-11-29,23.030001,23.340000,22.900000,23.080000,23.080000,719000
2022-11-30,23.010000,23.910000,22.740000,23.870001,23.870001,1441200
2022-12-01,23.900000,24.170000,23.709999,23.770000,23.770000,775200
2022-12-02,23.290001,23.790001,23.170000,23.650000,23.650000,1000100
2022-12-05,23.270000,23.410000,22.730000,23.209999,23.209999,871700
2022-12-06,23.190001,23.200001,22.480000,22.799999,22.799999,1053300
2022-12-07,22.549999,23.170000,22.320000,22.870001,22.870001,820300
2022-12-08,23.219999,23.620001,23.090000,23.500000,23.500000,845200
2022-12-09,23.250000,23.530001,23.000000,23.160000,23.160000,830400
2022-12-12,23.110001,23.900000,22.959999,23.870001,23.870001,689300
2022-12-13,24.870001,24.990000,23.610001,23.780001,23.780001,943200
2022-12-14,23.709999,24.049999,23.330000,23.770000,23.770000,2222800
2022-12-15,23.260000,23.610001,22.850000,23.139999,23.139999,1108300
2022-12-16,22.770000,23.530001,22.770000,23.440001,23.440001,2482900
2022-12-19,23.410000,23.540001,22.440001,22.590000,22.590000,1000300
2022-12-20,22.420000,22.990000,22.420000,22.889999,22.889999,595100
2022-12-21,23.090000,23.480000,23.040001,23.270000,23.270000,813500
2022-12-22,22.950001,22.950001,22.209999,22.840000,22.840000,1081100
2022-12-23,22.860001,23.230000,22.650000,23.219999,23.219999,550000
2022-12-27,23.129999,23.420000,22.969999,23.410000,23.410000,773200
2022-12-28,23.250000,23.410000,22.629999,22.639999,22.639999,505300
2022-12-29,22.700001,23.480000,22.700001,23.350000,23.350000,627600
2022-12-30,22.980000,23.459999,22.889999,23.410000,23.410000,569900
2023-01-03,23.750000,24.200001,23.270000,23.629999,23.629999,1103000
2023-01-04,23.900000,24.320000,23.700001,23.990000,23.990000,1150300
2023-01-05,23.680000,23.959999,23.209999,23.920000,23.920000,717700
2023-01-06,24.120001,24.660000,23.670000,24.410000,24.410000,913400
2023-01-09,24.559999,24.920000,24.360001,24.490000,24.490000,840100
2023-01-10,24.320000,24.860001,24.209999,24.820000,24.820000,455800
2023-01-11,24.910000,25.240000,24.889999,25.170000,25.170000,831600
2023-01-12,25.330000,25.650000,24.910000,25.570000,25.570000,823200
2023-01-13,25.200001,25.670000,25.090000,25.610001,25.610001,673800
2023-01-17,25.549999,25.920000,25.500000,25.650000,25.650000,771700
2023-01-18,25.809999,26.129999,25.650000,25.870001,25.870001,1311300
2023-01-19,25.660000,25.770000,25.430000,25.690001,25.690001,1132300
2023-01-20,25.730000,26.360001,25.530001,26.309999,26.309999,923500
2023-01-23,26.420000,26.830000,26.350000,26.820000,26.820000,1294800
2023-01-24,26.520000,26.820000,26.190001,26.200001,26.200001,507400
2023-01-25,25.850000,26.610001,25.790001,26.400000,26.400000,557400
2023-01-26,26.670000,27.100000,26.469999,27.059999,27.059999,571600
2023-01-27,26.920000,27.209999,26.860001,27.070000,27.070000,753300
2023-01-30,26.690001,27.059999,26.570000,26.770000,26.770000,406800
2023-01-31,26.830000,27.430000,26.670000,27.420000,27.420000,764200
2023-02-01,27.420000,28.190001,27.219999,28.070000,28.070000,1228300
2023-02-02,28.500000,28.809999,28.170000,28.450001,28.450001,1013200
2023-02-03,27.940001,28.620001,27.889999,28.389999,28.389999,803900
2023-02-06,28.030001,28.170000,27.230000,27.610001,27.610001,1080400
2023-02-07,27.610001,28.030001,27.280001,27.740000,27.740000,1310700
2023-02-08,28.100000,29.070000,26.280001,27.559999,27.559999,1192500
2023-02-09,27.870001,28.200001,26.639999,26.660000,26.660000,900600
2023-02-10,26.400000,26.629999,26.190001,26.459999,26.459999,1142300
2023-02-13,26.400000,26.950001,26.219999,26.930000,26.930000,656000
2023-02-14,26.719999,27.100000,26.459999,26.820000,26.820000,826800
2023-02-15,26.520000,27.549999,26.510000,27.450001,27.450001,544900
2023-02-16,26.879999,27.379999,26.740000,26.889999,26.889999,798200
2023-02-17,26.750000,26.900000,26.299999,26.809999,26.809999,699000
2023-02-21,26.350000,26.670000,26.030001,26.299999,26.299999,641500
2023-02-22,26.340000,26.730000,26.070000,26.180000,26.180000,626100
2023-02-23,26.410000,26.500000,25.830000,26.059999,26.059999,656100
2023-02-24,25.580000,25.750000,25.400000,25.690001,25.690001,558700
2023-02-27,25.950001,25.969999,25.570000,25.730000,25.730000,659300
2023-02-28,25.730000,25.930000,25.530001,25.530001,25.530001,668000
2023-03-01,25.520000,25.840000,25.309999,25.580000,25.580000,713800
2023-03-02,25.260000,25.600000,25.180000,25.510000,25.510000,521200
2023-03-03,25.760000,25.910000,25.480000,25.780001,25.780001,636900
2023-03-06,25.840000,25.990000,25.040001,25.049999,25.049999,1086600
2023-03-07,25.000000,25.370001,24.580000,24.590000,24.590000,846500
2023-03-08,24.549999,25.030001,24.410000,24.580000,24.580000,603100
2023-03-09,24.490000,24.580000,23.520000,23.520000,23.520000,1033500
2023-03-10,23.379999,23.420000,22.459999,22.600000,22.600000,983200
2023-03-13,22.090000,22.120001,21.590000,21.610001,21.610001,1420700
2023-03-14,22.309999,22.549999,21.870001,22.030001,22.030001,1106600
2023-03-15,21.420000,21.610001,20.959999,21.540001,21.540001,1210700
2023-03-16,21.170000,21.900000,21.040001,21.629999,21.629999,1293000
2023-03-17,21.420000,21.540001,21.090000,21.240000,21.240000,1443800
2023-03-20,21.530001,22.100000,21.480000,21.840000,21.840000,1117600
2023-03-21,22.219999,22.500000,22.070000,22.350000,22.350000,819900
2023-03-22,22.340000,22.610001,21.740000,21.770000,21.770000,1051400
2023-03-23,21.940001,22.309999,21.400000,21.770000,21.770000,955300
2023-03-24,21.559999,21.930000,21.370001,21.860001,21.860001,668000
2023-03-27,22.139999,22.320000,21.850000,21.980000,21.980000,691600
2023-03-28,21.850000,22.010000,21.700001,21.920000,21.920000,881200
2023-03-29,22.190001,22.500000,21.930000,22.490000,22.490000,1178700
2023-03-30,22.780001,23.200001,22.700001,23.000000,23.000000,763700
2023-03-31,23.209999,23.780001,23.180000,23.590000,23.590000,853300
2023-04-03,23.530001,23.830000,23.340000,23.450001,23.450001,722400
2023-04-04,23.549999,23.590000,23.010000,23.180000,23.180000,653000
2023-04-05,22.959999,23.030001,22.670000,22.820000,22.820000,1259900
2023-04-06,22.790001,22.860001,22.389999,22.590000,22.590000,903300
2023-04-10,22.459999,22.930000,22.459999,22.840000,22.840000,504000
2023-04-11,22.930000,23.049999,22.660000,22.959999,22.959999,512400
2023-04-12,23.280001,23.400000,22.490000,22.500000,22.500000,741600
2023-04-13,22.600000,23.280001,22.600000,23.030001,23.030001,1675000
2023-04-14,23.000000,23.320000,22.620001,22.680000,22.680000,1352900
2023-04-17,22.500000,23.000000,22.379999,23.000000,23.000000,1634400
2023-04-18,23.200001,23.270000,22.730000,22.930000,22.930000,692400
2023-04-19,22.690001,22.990000,22.540001,22.910000,22.910000,843800
2023-04-20,22.629999,22.680000,22.280001,22.430000,22.430000,1284200
